data,国金上证50指数分级证券投资基金(502020)
1,1.0000
2,1.0010
3,1.0020
4,0.9980
5,0.9870
6,0.9780
7,0.9790
8,0.9520
9,0.9270
10,0.9360
11,0.8930
12,0.8470
13,0.8770
14,0.8890
15,0.8620
16,0.8030
17,0.7850
18,0.8400
19,0.8020
20,0.7960
21,0.7600
22,0.8090
23,0.8300
24,0.7710
25,0.8190
26,0.8490
27,0.8410
28,0.8100
29,0.8070
30,0.8050
31,0.8270
32,0.8180
33,0.8140
34,0.8050
35,0.8210
36,0.8050
37,0.7330
38,0.7300
39,0.7420
40,0.7240
41,0.7220
42,0.7270
43,0.7460
44,0.7310
45,0.7250
46,0.7360
47,0.7690
48,0.7610
49,0.7530
50,0.7580
51,0.7570
52,0.7480
53,0.7070
54,0.7130
55,0.6920
56,0.6690
57,0.6130
58,1.0000
59,1.0120
60,1.0800
61,1.1200
62,1.1440
63,1.1520
64,1.1560
65,1.1000
66,1.1250
67,1.1420
68,1.1400
69,1.1330
70,1.1450
71,1.1200
72,1.1550
73,1.1340
74,1.1350
75,1.1430
76,1.1540
77,1.1240
78,1.1290
79,1.1250
80,1.1190
81,1.0960
82,1.1070
83,1.1300
84,1.1440
85,1.1770
86,1.1710
87,1.1620
88,1.1850
89,1.1970
90,1.1940
91,1.2030
92,1.2020
93,1.2010
94,1.2070
95,1.2100
96,1.2100
97,1.1900
98,1.1880
99,1.1910
100,1.1740
101,1.1700
102,1.2230
103,1.2580
104,1.2830
105,1.3010
106,1.2940
107,1.2850
108,1.2690
109,1.2540
110,1.2530
111,1.2560
112,1.2480
113,1.2590
114,1.2570
115,1.2520
116,1.2470
117,1.2530
118,1.2490
119,1.1900
120,1.1900
121,1.1920
122,1.2570
123,1.2590
124,1.2250
125,1.2240
126,1.2080
127,1.2110
128,1.2040
129,1.1970
130,1.2320
131,1.2070
132,1.2040
133,1.2190
134,1.2270
135,1.2650
136,1.2630
137,1.2670
138,1.2570
139,1.2620
140,1.2210
141,1.2320
142,1.2310
143,1.2270
144,1.1610
145,1.1670
146,1.1820
147,1.1050
148,1.1250
149,1.0760
150,1.0800
151,1.0670
152,1.0800
153,1.0570
154,1.0580
155,1.0870
156,1.0660
157,1.0410
158,1.0540
159,1.0560
160,1.0000
161,1.0000
162,0.9810
163,1.0110
164,0.9910
165,1.0070
166,0.9990
167,1.0100
168,1.0060
169,0.9960
170,1.0230
171,1.0290
172,1.0270
173,1.0240
174,1.0520
175,1.0450
176,1.0480
177,0.9930
178,1.0050
179,0.9980
180,1.0140
181,1.0520
182,1.0570
183,1.0940
184,1.0870
185,1.0890
186,1.0870
187,1.0620
188,1.0640
189,1.0680
190,1.0790
191,1.0960
192,1.0950
193,1.1000
194,1.1270
195,1.1170
196,1.1170
197,1.0980
198,1.1040
199,1.0900
200,1.0820
201,1.1080
202,1.1070
203,1.1120
204,1.1190
205,1.1130
206,1.0980
207,1.0900
208,1.1030
209,1.1000
210,1.1150
211,1.1190
212,1.1200
213,1.1080
214,1.1100
215,1.1040
216,1.1020
217,1.1070
218,1.1020
219,1.1050
220,1.1000
221,1.0980
222,1.0950
223,1.1060
224,1.1040
225,1.1040
226,1.0810
227,1.0630
228,1.0630
229,1.0660
230,1.0690
231,1.0650
232,1.0680
233,1.0650
234,1.0660
235,1.0650
236,1.0670
237,1.0690
238,1.0610
239,1.0640
240,1.0650
241,1.0650
242,1.0730
243,1.1060
244,1.0980
245,1.0970
246,1.1050
247,1.0990
248,1.1000
249,1.0970
250,1.0720
251,1.0770
252,1.0820
253,1.0770
254,1.0810
255,1.0820
256,1.0820
257,1.0880
258,1.0840
259,1.0720
260,1.0810
261,1.0840
262,1.0950
263,1.0950
264,1.0980
265,1.1170
266,1.1210
267,1.1200
268,1.1220
269,1.1160
270,1.1210
271,1.1440
272,1.1480
273,1.1470
274,1.1460
275,1.1440
276,1.1370
277,1.1330
278,1.1380
279,1.1280
280,1.1290
281,1.1410
282,1.1350
283,1.1310
284,1.1270
285,1.1220
286,1.1230
287,1.1210
288,1.1200
289,1.1240
290,1.1290
291,1.1370
292,1.1350
293,1.1390
294,1.1630
295,1.1970
296,1.1810
297,1.1790
298,1.1740
299,1.1780
300,1.1710
301,1.1740
302,1.1680
303,1.1630
304,1.1620
305,1.1590
306,1.1640
307,1.1680
308,1.1620
309,1.1660
310,1.1660
311,1.1680
312,1.1700
313,1.1700
314,1.1660
315,1.1490
316,1.1460
317,1.1370
318,1.1440
319,1.1410
320,1.1430
321,1.1500
322,1.1470
323,1.1330
324,1.1370
325,1.1320
326,1.1370
327,1.1380
328,1.1500
329,1.1530
330,1.1490
331,1.1500
332,1.1530
333,1.1450
334,1.1600
335,1.1590
336,1.1600
337,1.1690
338,1.1850
339,1.1820
340,1.1770
341,1.1740
342,1.1760
343,1.1740
344,1.1800
345,1.1710
346,1.1850
347,1.1840
348,1.1860
349,1.1890
350,1.1800
351,1.1930
352,1.2030
353,1.2070
354,1.2030
355,1.2030
356,1.2060
357,1.2010
358,1.2150
359,1.2240
360,1.2280
361,1.2320
362,1.2450
363,1.2500
364,1.2700
365,1.2580
366,1.2640
367,1.2560
368,1.2340
369,1.2310
370,1.2350
371,1.2360
372,1.2520
373,1.2400
374,1.2330
375,1.2260
376,1.1750
377,1.1710
378,1.1650
379,1.1580
380,1.1670
381,1.1650
382,1.1570
383,1.1650
384,1.1610
385,1.1560
386,1.1550
387,1.1610
388,1.1600
389,1.1710
390,1.1780
391,1.1780
392,1.1710
393,1.1760
394,1.1730
395,1.1670
396,1.1640
397,1.1700
398,1.1840
399,1.1810
400,1.1870
401,1.1830
402,1.1900
403,1.1890
404,1.1920
405,1.1950
406,1.1980
407,1.1850
408,1.1870
409,1.1830
410,1.1880
411,1.1920
412,1.1990
413,1.2010
414,1.2000
415,1.1970
416,1.1990
417,1.1920
418,1.2070
419,1.2080
420,1.2090
421,1.2040
422,1.2050
423,1.1950
424,1.1950
425,1.1960
426,1.1880
427,1.1840
428,1.1850
429,1.1880
430,1.1890
431,1.1830
432,1.1800
433,1.1870
434,1.1870
435,1.1880
436,1.1940
437,1.1830
438,1.1850
439,1.1880
440,1.1790
441,1.1830
442,1.1920
443,1.1910
444,1.1870
445,1.1860
446,1.1830
447,1.1900
448,1.2020
449,1.2050
450,1.2040
451,1.2000
452,1.2020
453,1.2010
454,1.1970
455,1.1910
456,1.1920
457,1.1830
458,1.1770
459,1.1820
460,1.1880
461,1.1850
462,1.1870
463,1.1870
464,1.1900
465,1.1890
466,1.1840
467,1.1810
468,1.1790
469,1.1760
470,1.1790
471,1.1760
472,1.1800
473,1.1870
474,1.2050
475,1.2090
476,1.2090
477,1.2010
478,1.1980
479,1.2010
480,1.2110
481,1.2260
482,1.2240
483,1.2570
484,1.2560
485,1.2600
486,1.2690
487,1.2580
488,1.2460
489,1.2530
490,1.2620
491,1.2730
492,1.2840
493,1.2840
494,1.2820
495,1.2680
496,1.2610
497,1.2590
498,1.2750
499,1.2700
500,1.2810
501,1.2920
502,1.2980
503,1.3050
504,1.3110
505,1.3030
506,1.3110
507,1.3100
508,1.3030
509,1.2910
510,1.3100
511,1.3150
512,1.3130
513,1.3180
514,1.3310
515,1.3290
516,1.3490
517,1.3610
518,1.3630
519,1.3590
520,1.3760
521,1.3800
522,1.3680
523,1.3760
524,1.3700
525,1.3670
526,1.3680
527,1.3690
528,1.3700
529,1.3920
530,1.3930
531,1.3760
532,1.3670
533,1.3710
534,1.3720
535,1.3650
536,1.3600
537,1.3410
538,1.3520
539,1.3580
540,1.3540
541,1.3590
542,1.3650
543,1.3680
544,1.3820
545,1.3910
546,1.3850
547,1.4150
548,1.4310
549,1.4330
550,1.4280
551,1.4220
552,1.4200
553,1.4220
554,1.4320
555,1.4240
556,1.4140
557,1.4110
558,1.4060
559,1.4150
560,1.4130
561,1.4060
562,1.4050
563,1.4080
564,1.4070
565,1.4040
566,1.4110
567,1.4130
568,1.4140
569,1.4150
570,1.4070
571,1.4070
572,1.4140
573,1.4240
574,1.4260
575,1.4320
576,1.4380
577,1.4360
578,1.4420
579,1.4410
580,1.4550
581,1.4570
582,1.4480
583,1.4460
584,1.4570
585,1.4560
586,1.4660
587,1.4890
588,1.4860
589,1.4790
590,1.4770
591,1.4790
592,1.4820
593,1.4790
594,1.4950
595,1.4940
596,1.5010
597,1.0000
