data,广发聚鑫债券型证券投资基金A(000118)
1,1.0000
2,1.0010
3,1.0020
4,1.0000
5,1.0010
6,1.0040
7,1.0080
8,1.0100
9,1.0140
10,1.0160
11,1.0170
12,1.0180
13,1.0160
14,1.0150
15,1.0150
16,1.0170
17,1.0170
18,1.0170
19,1.0150
20,1.0120
21,1.0140
22,1.0120
23,1.0110
24,1.0120
25,1.0120
26,1.0140
27,1.0130
28,1.0130
29,1.0090
30,1.0100
31,1.0100
32,1.0110
33,1.0110
34,1.0080
35,1.0130
36,1.0240
37,1.0230
38,1.0160
39,1.0180
40,1.0160
41,1.0130
42,1.0110
43,1.0110
44,1.0160
45,1.0140
46,1.0140
47,1.0100
48,1.0100
49,1.0120
50,1.0160
51,1.0220
52,1.0200
53,1.0200
54,1.0200
55,1.0160
56,1.0100
57,1.0050
58,1.0050
59,1.0110
60,1.0050
61,1.0000
62,0.9930
63,0.9850
64,0.9880
65,0.9870
66,0.9910
67,0.9850
68,0.9870
69,0.9880
70,0.9870
71,0.9830
72,0.9770
73,0.9720
74,0.9660
75,0.9680
76,0.9650
77,0.9680
78,0.9710
79,0.9760
80,0.9730
81,0.9760
82,0.9710
83,0.9710
84,0.9730
85,0.9730
86,0.9780
87,0.9780
88,0.9830
89,0.9760
90,0.9810
91,0.9850
92,0.9830
93,0.9750
94,0.9770
95,0.9730
96,0.9690
97,0.9660
98,0.9690
99,0.9630
100,0.9650
101,0.9600
102,0.9550
103,0.9510
104,0.9520
105,0.9540
106,0.9560
107,0.9520
108,0.9550
109,0.9540
110,0.9520
111,0.9520
112,0.9460
113,0.9380
114,0.9390
115,0.9410
116,0.9370
117,0.9340
118,0.9320
119,0.9360
120,0.9440
121,0.9450
122,0.9430
123,0.9430
124,0.9430
125,0.9560
126,0.9570
127,0.9610
128,0.9620
129,0.9600
130,0.9650
131,0.9770
132,0.9830
133,0.9910
134,0.9870
135,0.9810
136,0.9850
137,0.9870
138,0.9970
139,0.9960
140,0.9940
141,0.9950
142,0.9970
143,0.9960
144,0.9890
145,0.9930
146,1.0000
147,1.0020
148,1.0060
149,1.0080
150,1.0000
151,0.9960
152,0.9960
153,0.9870
154,0.9850
155,0.9830
156,0.9860
157,0.9870
158,0.9900
159,0.9920
160,0.9850
161,0.9790
162,0.9830
163,0.9810
164,0.9800
165,0.9820
166,0.9800
167,0.9730
168,0.9710
169,0.9730
170,0.9700
171,0.9660
172,0.9700
173,0.9760
174,0.9770
175,0.9790
176,0.9800
177,0.9820
178,0.9810
179,0.9810
180,0.9860
181,0.9850
182,0.9820
183,0.9820
184,0.9810
185,0.9790
186,0.9760
187,0.9730
188,0.9780
189,0.9810
190,0.9870
191,0.9900
192,0.9890
193,0.9940
194,1.0000
195,1.0050
196,1.0060
197,1.0030
198,0.9990
199,0.9990
200,0.9970
201,0.9970
202,0.9980
203,0.9990
204,1.0030
205,1.0030
206,1.0030
207,1.0070
208,1.0110
209,1.0140
210,1.0160
211,1.0180
212,1.0200
213,1.0170
214,1.0170
215,1.0210
216,1.0220
217,1.0240
218,1.0280
219,1.0310
220,1.0270
221,1.0270
222,1.0200
223,1.0250
224,1.0260
225,1.0290
226,1.0270
227,1.0310
228,1.0330
229,1.0370
230,1.0340
231,1.0320
232,1.0330
233,1.0310
234,1.0340
235,1.0330
236,1.0280
237,1.0240
238,1.0270
239,1.0310
240,1.0330
241,1.0250
242,1.0180
243,1.0190
244,1.0260
245,1.0300
246,1.0290
247,1.0330
248,1.0360
249,1.0410
250,1.0450
251,1.0470
252,1.0560
253,1.0550
254,1.0610
255,1.0610
256,1.0620
257,1.0580
258,1.0600
259,1.0660
260,1.0670
261,1.0650
262,1.0660
263,1.0720
264,1.0740
265,1.0730
266,1.0720
267,1.0710
268,1.0720
269,1.0720
270,1.0740
271,1.0790
272,1.0790
273,1.0850
274,1.0890
275,1.0950
276,1.0990
277,1.1010
278,1.1080
279,1.1070
280,1.1050
281,1.1000
282,1.1070
283,1.1070
284,1.0920
285,1.0950
286,1.1000
287,1.1090
288,1.1010
289,1.1080
290,1.1150
291,1.1180
292,1.1170
293,1.1210
294,1.1230
295,1.1280
296,1.1310
297,1.1260
298,1.1220
299,1.1240
300,1.1290
301,1.1280
302,1.1290
303,1.1380
304,1.1420
305,1.1400
306,1.1350
307,1.1360
308,1.1370
309,1.1490
310,1.1560
311,1.1560
312,1.1590
313,1.1650
314,1.1680
315,1.1740
316,1.1800
317,1.1830
318,1.2000
319,1.1890
320,1.1940
321,1.1880
322,1.1850
323,1.1820
324,1.1740
325,1.1740
326,1.1720
327,1.1770
328,1.1940
329,1.1970
330,1.2000
331,1.1990
332,1.2010
333,1.1920
334,1.1960
335,1.2010
336,1.2130
337,1.2210
338,1.2340
339,1.1700
340,1.1880
341,1.1820
342,1.1840
343,1.1860
344,1.2020
345,1.2140
346,1.2300
347,1.2370
348,1.2450
349,1.2360
350,1.2430
351,1.2660
352,1.2900
353,1.3070
354,1.3150
355,1.3250
356,1.3480
357,1.3570
358,1.3800
359,1.3670
360,1.3730
361,1.3560
362,1.3690
363,1.3750
364,1.3990
365,1.4150
366,1.3570
367,1.3800
368,1.3840
369,1.4050
370,1.4070
371,1.4090
372,1.3920
373,1.3740
374,1.3700
375,1.3600
376,1.3440
377,1.3580
378,1.3480
379,1.3430
380,1.3380
381,1.3460
382,1.3530
383,1.3640
384,1.3690
385,1.3770
386,1.3880
387,1.3870
388,1.3750
389,1.3860
390,1.3880
391,1.3920
392,1.3840
393,1.3920
394,1.3830
395,1.3750
396,1.3890
397,1.3850
398,1.3850
399,1.3970
400,1.3980
401,1.4260
402,1.4380
403,1.4500
404,1.4390
405,1.4460
406,1.4680
407,1.4620
408,1.4490
409,1.4360
410,1.4330
411,1.4470
412,1.4440
413,1.3950
414,1.3950
415,1.3980
416,1.3940
417,1.3890
418,1.3780
419,1.3960
420,1.4070
421,1.4070
422,1.3990
423,1.4090
424,1.4420
425,1.4200
426,1.4390
427,1.4790
428,1.4730
429,1.4840
430,1.5030
431,1.4780
432,1.4820
433,1.4820
434,1.4890
435,1.4670
436,1.4650
437,1.4630
438,1.4720
439,1.4980
440,1.5280
441,1.5190
442,1.5270
443,1.5300
444,1.5450
445,1.5520
446,1.5690
447,1.5930
448,1.6090
449,1.6480
450,1.6840
451,1.6780
452,1.6270
453,1.6360
454,1.6750
455,1.6880
456,1.6800
457,1.6740
458,1.6710
459,1.6680
460,1.6830
461,1.6790
462,1.6700
463,1.6740
464,1.6700
465,1.6390
466,1.6430
467,1.6210
468,1.5850
469,1.5830
470,1.5850
471,1.5660
472,1.5290
473,1.4980
474,1.5310
475,1.5050
476,1.4820
477,1.4610
478,1.4650
479,1.4400
480,1.4120
481,1.4390
482,1.4630
483,1.4920
484,1.5050
485,1.4800
486,1.4890
487,1.3370
488,1.3420
489,1.3520
490,1.3700
491,1.3650
492,1.3260
493,1.3140
494,1.3390
495,1.3240
496,1.3210
497,1.3110
498,1.3360
499,1.3330
500,1.3350
501,1.3580
502,1.3790
503,1.3700
504,1.3620
505,1.3700
506,1.3700
507,1.3690
508,1.3390
509,1.3420
510,1.3280
511,1.3110
512,1.2840
513,1.2650
514,1.2580
515,1.2670
516,1.2790
517,1.2870
518,1.2760
519,1.2740
520,1.2690
521,1.2740
522,1.2780
523,1.2770
524,1.2760
525,1.2750
526,1.2650
527,1.2800
528,1.2750
529,1.2750
530,1.2880
531,1.2880
532,1.2860
533,1.2890
534,1.2780
535,1.2870
536,1.2830
537,1.2880
538,1.3020
539,1.3120
540,1.3280
541,1.3360
542,1.3350
543,1.3480
544,1.3550
545,1.3490
546,1.3560
547,1.3450
548,1.3570
549,1.3670
550,1.3050
551,1.3090
552,1.3040
553,1.3040
554,1.3080
555,1.2980
556,1.3000
557,1.3130
558,1.3100
559,1.3210
560,1.3170
561,1.3150
562,1.3170
563,1.3190
564,1.3150
565,1.3170
566,1.3170
567,1.3080
568,1.3150
569,1.3170
570,1.3110
571,1.3130
572,1.3200
573,1.3180
574,1.2970
575,1.2950
576,1.2940
577,1.2970
578,1.3050
579,1.3020
580,1.3050
581,1.2980
582,1.3000
583,1.3030
584,1.3030
585,1.3150
586,1.3190
587,1.3170
588,1.3230
589,1.3190
590,1.3240
591,1.3280
592,1.3250
593,1.3240
594,1.3260
595,1.3170
596,1.3200
597,1.3260
598,1.3220
599,1.2980
600,1.2970
601,1.3020
602,1.2760
603,1.2820
604,1.2600
605,1.2640
606,1.2550
607,1.2730
608,1.2680
609,1.2740
610,1.2850
611,1.2390
612,1.2260
613,1.2320
614,1.2320
615,1.2060
616,1.2040
617,1.1910
618,1.2010
619,1.1970
620,1.2060
621,1.2040
622,1.2100
623,1.2070
624,1.2070
625,1.2180
626,1.2220
627,1.2200
628,1.2230
629,1.2290
630,1.2290
631,1.2300
632,1.2050
633,1.2050
634,1.1900
635,1.1960
636,1.2090
637,1.2100
638,1.2050
639,1.2080
640,1.2080
641,1.2050
642,1.2000
643,1.2000
644,1.2090
645,1.2070
646,1.2050
647,1.2160
648,1.2270
649,1.2350
650,1.2340
651,1.2430
652,1.2360
653,1.2370
654,1.2320
655,1.2260
656,1.2360
657,1.2380
658,1.2380
659,1.2470
660,1.2470
661,1.2400
662,1.2370
663,1.2430
664,1.2420
665,1.2440
666,1.2430
667,1.2420
668,1.2340
669,1.2340
670,1.2230
671,1.2140
672,1.2160
673,1.2120
674,1.2130
675,1.2110
676,1.2110
677,1.2110
678,1.2200
679,1.2190
680,1.2190
681,1.2070
682,1.1980
683,1.2010
684,1.2000
685,1.2010
686,1.1990
687,1.2040
688,1.2070
689,1.1980
690,1.1980
691,1.2020
692,1.2040
693,1.2010
694,1.2000
695,1.2020
696,1.2000
697,1.1990
698,1.2140
699,1.2150
700,1.2170
701,1.2220
702,1.2220
703,1.2210
704,1.2200
705,1.2070
706,1.2080
707,1.2170
708,1.2140
709,1.2200
710,1.2210
711,1.2180
712,1.2270
713,1.2280
714,1.2260
715,1.2340
716,1.2370
717,1.2360
718,1.2390
719,1.2380
720,1.2460
721,1.2450
722,1.2470
723,1.2460
724,1.2480
725,1.2450
726,1.2510
727,1.2520
728,1.2530
729,1.2480
730,1.2400
731,1.2420
732,1.2410
733,1.2430
734,1.2400
735,1.2390
736,1.2430
737,1.2280
738,1.2270
739,1.2250
740,1.2220
741,1.2250
742,1.2260
743,1.2280
744,1.2280
745,1.2340
746,1.2370
747,1.2360
748,1.2330
749,1.2370
750,1.2510
751,1.2510
752,1.2500
753,1.2500
754,1.2490
755,1.2470
756,1.2460
757,1.2460
758,1.2410
759,1.2430
760,1.2440
761,1.2460
762,1.2440
763,1.2420
764,1.2420
765,1.2420
766,1.2480
767,1.2470
768,1.2480
769,1.2450
770,1.2370
771,1.2370
772,1.2380
773,1.2420
774,1.2430
775,1.2430
776,1.2440
777,1.2440
778,1.2390
779,1.2410
780,1.2390
781,1.2410
782,1.2430
783,1.2530
784,1.2540
785,1.2520
786,1.2540
787,1.2520
788,1.2500
789,1.2550
790,1.2560
791,1.2570
792,1.2420
793,1.2450
794,1.2460
795,1.2430
796,1.2420
797,1.2420
798,1.2410
799,1.2430
800,1.2390
801,1.2400
802,1.2390
803,1.2380
804,1.2390
805,1.2340
806,1.2380
807,1.2390
808,1.2400
809,1.2410
810,1.2400
811,1.2370
812,1.2340
813,1.2330
814,1.2370
815,1.2340
816,1.2310
817,1.2320
818,1.2330
819,1.2310
820,1.2310
821,1.2280
822,1.2220
823,1.2200
824,1.2160
825,1.2170
826,1.2160
827,1.2130
828,1.1970
829,1.1940
830,1.1910
831,1.1850
832,1.1870
833,1.1830
834,1.1790
835,1.1820
836,1.1850
837,1.1850
838,1.1880
839,1.1890
840,1.1880
841,1.1880
842,1.1900
843,1.1900
844,1.1930
845,1.1970
846,1.1980
847,1.1960
848,1.1970
849,1.1970
850,1.1950
851,1.1920
852,1.1880
853,1.1820
854,1.1860
855,1.1760
856,1.1750
857,1.1800
858,1.1820
859,1.1790
860,1.1800
861,1.1830
862,1.1790
863,1.1800
864,1.1760
865,1.1780
866,1.1790
867,1.1780
868,1.1810
869,1.1800
870,1.1780
871,1.1790
872,1.1790
873,1.1810
874,1.1820
875,1.1820
876,1.1820
877,1.1820
878,1.1800
879,1.1810
880,1.1830
881,1.1810
882,1.1830
883,1.1840
884,1.1830
885,1.1810
886,1.1790
887,1.1770
888,1.1800
889,1.1790
890,1.1800
891,1.1820
892,1.1780
893,1.1790
894,1.1790
895,1.1770
896,1.1770
897,1.1800
898,1.1790
899,1.1800
900,1.1790
901,1.1750
902,1.1750
903,1.1830
904,1.1850
905,1.1870
906,1.1890
907,1.1940
908,1.1960
909,1.1980
910,1.1950
911,1.1960
912,1.1960
913,1.1910
914,1.1890
915,1.1840
916,1.1810
917,1.1840
918,1.1910
919,1.1910
920,1.1930
921,1.1940
922,1.1930
923,1.1880
924,1.1810
925,1.1610
926,1.1620
927,1.1540
928,1.1560
929,1.1600
930,1.1630
931,1.1720
932,1.1700
933,1.1610
934,1.1610
935,1.1560
936,1.1490
937,1.1500
938,1.1550
939,1.1550
940,1.1580
941,1.1520
942,1.1530
943,1.1550
944,1.1600
945,1.1670
946,1.1660
947,1.1710
948,1.1680
949,1.1710
950,1.1710
951,1.1770
952,1.1820
953,1.1850
954,1.1920
955,1.1940
956,1.1880
957,1.1900
958,1.1960
959,1.1990
960,1.1950
961,1.1960
962,1.1950
963,1.1980
964,1.1970
965,1.2020
966,1.2000
967,1.1990
968,1.1950
969,1.1910
970,1.1890
971,1.1920
972,1.1930
973,1.1790
974,1.1800
975,1.1860
976,1.1900
977,1.1940
978,1.1970
979,1.1850
980,1.1860
981,1.1960
982,1.1960
983,1.1990
984,1.2020
985,1.2030
986,1.2050
987,1.2030
988,1.2060
989,1.2060
990,1.2020
991,1.1950
992,1.1900
993,1.2010
994,1.2050
995,1.2080
996,1.2150
997,1.2130
998,1.2140
999,1.2130
1000,1.2110
1001,1.2080
1002,1.2130
1003,1.2170
1004,1.2170
1005,1.2160
1006,1.2200
1007,1.2240
1008,1.2250
1009,1.2260
1010,1.2270
1011,1.2260
1012,1.2260
1013,1.2260
1014,1.2250
1015,1.2260
1016,1.2260
1017,1.2260
1018,1.2280
1019,1.2270
1020,1.2290
1021,1.2250
1022,1.2230
1023,1.2210
1024,1.2200
1025,1.2210
1026,1.2220
1027,1.2250
1028,1.2290
1029,1.2280
1030,1.2300
1031,1.2300
1032,1.2310
1033,1.2280
1034,1.2270
1035,1.2270
1036,1.2250
1037,1.2260
1038,1.2270
1039,1.2300
1040,1.2320
1041,1.2310
1042,1.2310
1043,1.2250
1044,1.2270
1045,1.2280
1046,1.2260
1047,1.2240
1048,1.2310
1049,1.2330
1050,1.2350
1051,1.2390
1052,1.2410
